Year,crimes.total,crimes.penal.code,crimes.person,murder,assault,sexual.offenses,rape,stealing.general,burglary,house.theft,vehicle.theft,out.of.vehicle.theft,shop.theft,robbery,fraud,criminal.damage,other.penal.crimes,narcotics,drunk.driving,population
1950,2784,2306,120,1,105,40,5,1578,295,0.0,0.0,0.0,0.0,3,209,72,477,0.0,49,7014000
1951,3284,2754,125,1,109,45,6,1899,342,0.0,0.0,0.0,0.0,3,310,73,530,0.0,66,7073000
1952,3160,2608,119,1,104,39,4,1846,372,0.0,0.0,0.0,0.0,3,217,82,553,0.0,78,7125000
1953,2909,2689,119,1,105,45,5,1929,361,0.0,0.0,0.0,0.0,4,209,88,220,0.0,91,7171000
1954,3028,2791,126,1,107,41,5,1981,393,0.0,0.0,0.0,0.0,4,236,101,237,0.0,103,7213000
1955,3357,3101,135,1,118,44,5,2254,459,0.0,0.0,0.0,0.0,4,236,111,255,0.0,125,7262000
1956,3488,3215,133,1,116,38,5,2363,470,0.0,0.0,0.0,0.0,6,234,133,273,0.0,160,7315000
1957,3774,3520,133,1,116,36,5,2635,580,0.0,245.0,0.0,0.0,6,254,155,255,0.0,163,7364000
1958,4064,3791,127,1,113,40,6,2880,724,0.0,279.0,0.0,0.0,6,254,167,273,1.0,166,7409000
1959,4033,3733,125,1,110,47,6,2793,715,0.0,238.0,0.0,0.0,6,251,179,299,1.0,181,7446000
1960,3982,3694,131,1,116,54,7,2729,753,0.0,244.0,0.0,0.0,6,269,176,288,2.0,170,7480000
1961,4108,3747,131,1,116,53,7,2785,751,0.0,279.0,0.0,0.0,7,256,198,364,0.0,177,7520000
1962,4263,3885,129,1,115,49,7,2907,820,0.0,315.0,0.0,0.0,7,250,205,381,0.0,168,7562000
1963,4466,4062,132,1,118,49,7,3066,870,0.0,329.0,0.0,0.0,8,270,203,397,0.0,166,7604000
1964,4799,4391,137,1,124,51,8,3337,947,0.0,352.0,0.0,0.0,9,294,238,414,0.0,193,7661000
1965,5801,5090,167,3,151,51,8,3694,1042,99.0,397.0,717.0,123.0,12,431,297,711,10.0,213,7734000
1966,6063,5263,184,3,166,48,8,3736,1031,105.0,350.0,641.0,168.0,14,529,287,800,13.0,218,7808000
1967,6421,5555,189,2,173,49,8,3939,1086,108.0,384.0,639.0,204.0,13,548,314,867,51.0,229,7868000
1968,7166,6242,228,1,212,47,8,4240,1232,114.0,396.0,628.0,291.0,15,801,364,924,101.0,201,7914000
1969,7671,6036,241,1,223,42,8,4142,1131,116.0,384.0,574.0,255.0,16,681,376,1635,552.0,231,7968000
1970,8157,7002,247,1,228,41,9,4874,1338,137.0,402.0,694.0,288.0,19,890,421,1155,196.0,212,8043000
1971,8824,7592,238,1,218,38,8,5621,1658,183.0,457.0,865.0,287.0,21,726,459,1232,223.0,231,8098000
1972,8509,7371,242,1,223,32,7,5535,1568,200.0,426.0,849.0,335.0,25,592,456,1138,235.0,223,8122000
1973,8055,6729,233,1,215,33,7,4877,1413,184.0,380.0,720.0,378.0,26,563,483,1325,258.0,242,8137000
1974,8275,6992,261,2,243,41,8,4968,1402,193.0,372.0,774.0,226.0,28,606,561,1283,232.0,256,8161000
1975,9221,7849,282,1,263,33,9,5709,1631,246.0,448.0,1000.0,324.0,29,615,668,1371,258.0,265,8193000
1976,9720,8310,279,2,260,29,9,6132,1817,271.0,532.0,1201.0,332.0,33,653,668,1410,217.0,253,8222000
1977,10233,8682,306,2,286,33,10,6350,1878,270.0,539.0,1229.0,382.0,41,695,755,1551,252.0,269,8252000
1978,9706,8261,297,1,276,34,10,6003,1741,257.0,469.0,1152.0,379.0,42,625,741,1446,250.0,274,8276000
1979,9840,8418,301,2,279,34,11,5909,1680,213.0,412.0,1168.0,379.0,37,854,734,1422,273.0,262,8294000
1980,11170,9156,320,2,297,37,11,6228,1675,245.0,413.0,1210.0,423.0,41,1217,711,2014,715.0,261,8310000
1981,11247,9141,315,2,292,38,10,6191,1639,241.0,393.0,1129.0,450.0,39,1169,756,2106,812.0,253,8320000
1982,11817,9676,363,2,339,47,11,6542,1662,253.0,429.0,1217.0,523.0,42,1134,820,2140,824.0,255,8325000
1983,11515,9598,378,1,351,43,11,6522,1668,287.0,419.0,1212.0,545.0,42,1059,816,1917,577.0,270,8329000
1984,11793,10144,396,1,369,46,12,6936,1701,296.0,460.0,1354.0,606.0,44,1093,864,1649,459.0,263,8337000
1985,12195,10711,411,2,383,49,12,7413,1731,291.0,539.0,1500.0,731.0,46,1135,886,1484,431.0,237,8350000
1986,13087,11471,418,2,392,49,12,8015,1815,278.0,662.0,1819.0,742.0,45,1173,957,1616,454.0,277,8370000
1987,13020,11317,441,2,414,55,13,7757,1695,242.0,696.0,1869.0,697.0,47,1203,978,1703,499.0,273,8398000
1988,12875,11320,477,2,445,62,16,7653,1552,239.0,716.0,1768.0,701.0,50,1213,1016,1555,344.0,289,8437000
1989,13479,11820,497,2,467,65,17,8108,1615,251.0,813.0,1826.0,705.0,61,1085,1095,1659,396.0,308,8493000
1990,14240,12575,504,1,475,61,16,8650,1800,262.0,882.0,1842.0,754.0,70,1247,1133,1665,310.0,298,8559000
1991,13915,12130,497,2,469,64,17,8506,1809,256.0,818.0,1670.0,807.0,72,943,1088,1785,357.0,303,8617000
1992,13788,12134,549,2,522,81,19,8442,1799,249.0,750.0,1565.0,764.0,72,832,1087,1654,337.0,283,8668000
1993,13664,11826,614,2,584,94,25,8022,1786,232.0,701.0,1402.0,703.0,70,740,1085,1838,467.0,279,8719000
1994,12670,11112,641,2,611,87,21,7440,1609,201.0,618.0,1279.0,635.0,61,569,1146,1558,351.0,239,8781000
1995,12982,11536,647,2,616,88,19,7759,1615,189.0,659.0,1413.0,665.0,65,577,1213,1446,323.0,193,8831000
